balance type,amount,description,balance after update
NTC,2145,[ alloted  ] balance alloted by admin,,2016-12-06 16:19:13
AXIATA,1427,[ alloted  ] balance alloted by admin,,2016-12-06 16:19:25
NTC,64,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:23:35
AXIATA,34,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:23:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:22:49
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:22:49
NTC,7,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:34:37
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:34:37
NTC,3,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-07 16:55:53
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-07 16:55:53
NTC,11,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-07 17:03:32
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-07 17:03:32
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-07 17:05:47
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-09 17:23:07
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-11 17:12:23
NTC,2924,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-18 11:36:03
AXIATA,870,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-18 11:36:03
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-21 17:06:42
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-21 17:06:42
NTC,6,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-22 17:19:42
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-22 17:19:42
NTC,19,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-27 17:25:18
AXIATA,10,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-27 17:25:18
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-30 17:12:15
AXIATA,22,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-01 15:33:14
NTC,77,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-01 15:33:14
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-01 17:42:05
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-01 17:42:05
NTC,57,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-02 15:18:19
AXIATA,18,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-02 15:18:19
NTC,57,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-03 15:14:25
AXIATA,17,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-03 15:14:25
NTC,2143,[ alloted  ] balance alloted by admin,,2017-01-03 16:11:29
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-05 16:59:23
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-05 16:59:23
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-05 17:08:34
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-05 17:08:34
NTC,13,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-06 17:23:38
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-06 17:23:38
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-12 17:17:15
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-12 17:17:15
NTC,19,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-16 10:48:11
AXIATA,7,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-16 10:48:11
NTC,22,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-17 13:32:03
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-17 13:32:03
NTC,22,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-18 13:31:15
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-18 13:31:15
NTC,19,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-19 12:46:39
AXIATA,7,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-19 12:46:39
NTC,17,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 12:23:33
AXIATA,9,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 12:23:33
AXIATA,9,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-22 12:47:26
NTC,16,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-22 12:47:26
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-23 12:29:34
NTC,22,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-23 12:29:34
NTC,23,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 12:11:13
AXIATA,6,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 12:11:13
NTC,11,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 16:38:43
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 16:38:43
NTC,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 16:41:54
AXIATA,5,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 16:41:54
NTC,5,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 16:51:17
AXIATA,6,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-25 16:51:17
NTC,22,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-26 12:29:08
AXIATA,5,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-26 12:29:08
NTC,19,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-27 12:48:57
AXIATA,6,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-27 12:48:57
NTC,18,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-29 12:35:29
AXIATA,8,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-29 12:35:29
NTC,19,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-30 12:39:05
AXIATA,7,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-30 12:39:05
NTC,21,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-31 12:44:53
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-31 12:44:53
NTC,17,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-01 12:05:32
AXIATA,12,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-01 12:05:32
NTC,5,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-01 17:50:55
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-01 17:50:55
AXIATA,11,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-02 12:43:40
NTC,16,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-02 12:43:40
AXIATA,9,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-03 12:02:23
NTC,16,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-03 12:02:23
NTC,20,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-05 12:30:57
AXIATA,5,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-05 12:30:57
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-02-06 11:55:30
