balance type,amount,description,balance after update
NTC,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-01-08 16:04:18
AXIATA,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-01-08 16:04:25
NTC,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-01-23 13:46:30
AXIATA,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-01-23 13:46:35
NTC,5000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-25 15:11:44
AXIATA,1000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-25 15:11:49
