balance type,amount,description,balance after update
NTC,10000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-02-23 12:39:40
NTC,5800,[ deduced  ] balance alloted to soham trade and center,,2017-03-07 10:50:36
AXIATA,4200,[ deduced  ] balance alloted to soham trade and center,,2017-03-07 10:50:42
NTC,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-03-10 12:33:30
AXIATA,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-03-10 12:33:40
