Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
E-prima Technology Pvt. Ltd.[ Easy-reseller ],SuneraNepal,None,Default [ AXIATA ],Disapproved [ Self ],2016-04-06 16:04:41,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],NCDA,None,Default [ AXIATA ],Disapproved [ Self ],2016-04-06 16:04:41,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],sumeera,None,Default [ AXIATA ],Disapproved [ Self ],2016-04-06 16:04:41,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],JCIindrapur,None,Default [ AXIATA ],Disapproved [ Self ],2016-04-06 16:04:41,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],Prakash00,None,Default [ AXIATA ],Disapproved [ Self ],2016-04-06 16:04:41,Regular
