Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Onovato,Onovato Language Center Pvt.Ltd            ,Default [ AXIATA ],Requested,2017-02-25 12:15:37,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],TripConcern,Trip Concern Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-23 12:36:44,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Mahindra,Mahindra Automobile Pvt. Ltd.    ,Default [ AXIATA ],Requested,2017-02-19 22:45:56,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],AMAPhora,American Mission Association             ,Default [ AXIATA ],Requested,2017-02-25 12:14:53,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],MAEPPvtLtd,Masters Academy Educations Park Pvt.Ltd.            ,Default [ AXIATA ],Requested,2017-02-25 12:21:05,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Synergy,Synergy Finance Ltd.,Default [ AXIATA ],Requested,2017-02-19 22:44:14,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AATHMAUJA,Aathmauja Saccos        ,Default [ AXIATA ],Requested,2017-02-21 12:13:10,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],TribeniSHS,Tribeni Sadan High School,Default [ AXIATA ],Requested,2017-02-17 13:37:07,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],SKBS, Shantikrishak Bahumukhi Sahakari        ,Default [ AXIATA ],Requested,2017-02-21 12:07:40,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],Nawaprabhat,Nawaprabhat Saving And Credit Cooperative Ltd.        ,Default [ AXIATA ],Requested,2017-02-17 13:36:00,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],UBNKTM, UBN Kathmandu           ,Default [ AXIATA ],Requested,2017-02-21 12:15:41,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],GoldMart,Gold Mart Shopping.,Default [ AXIATA ],Requested,2017-02-23 13:31:33,Regular
Softlab Inc[ Easy-reseller ],DVSOP,Dream Vision School Of Pharsatikar            ,Default [ AXIATA ],Requested,2017-02-15 11:23:53,Regular
Softlab Inc[ Easy-reseller ],GEETA,Geeta Aviation Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-15 11:25:06,Regular
Softlab Inc[ Easy-reseller ],eSewaDang,  ESewaDang          ,Default [ AXIATA ],Requested,2017-02-21 21:39:09,Regular
Softlab Inc[ Easy-reseller ],TrishulBtm,Trishul Pharma            ,Default [ AXIATA ],Requested,2017-02-17 14:25:12,Regular
Softlab Inc[ Easy-reseller ],BestJobs,Best Jobs Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-26 09:03:50,Regular
Softlab Inc[ Easy-reseller ],BegnasBusS,Begnas Bus Sewa            ,Default [ AXIATA ],Requested,2017-02-16 12:24:30,Regular
Softlab Inc[ Easy-reseller ],CES,CES School             ,Default [ AXIATA ],Requested,2017-02-17 08:25:18,Regular
Softlab Inc[ Easy-reseller ],GitsInfo,GitsInfo Pvt. Ltd            ,Default [ AXIATA ],Requested,2017-02-24 22:05:50,Regular
Softlab Inc[ Easy-reseller ],YamahaTKP,Janaki Traders And Suppliers            ,Default [ AXIATA ],Requested,2017-02-15 11:22:47,Regular
Softlab Inc[ Easy-reseller ],SA,Shuvakamana Academy            ,Default [ AXIATA ],Requested,2017-02-15 11:24:41,Regular
Softlab Inc[ Easy-reseller ],NOBLEIT, Nobel IT Solution           ,Default [ AXIATA ],Requested,2017-02-17 14:24:45,Regular
Softlab Inc[ Easy-reseller ],SMTTU,Seti Mahakali Truck Yatayat Byawasayi Sangh            ,Default [ AXIATA ],Requested,2017-02-15 11:26:05,Regular
Softlab Inc[ Easy-reseller ],GITS,GITS Pvt. Ltd            ,Default [ AXIATA ],Requested,2017-02-22 15:05:53,Regular
Softlab Inc[ Easy-reseller ],Shikshadeep,Shikshadeep School            ,Default [ AXIATA ],Requested,2017-02-16 15:45:13,Regular
Softlab Inc[ Easy-reseller ],JSPSMS,JSP Technologies Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-15 11:22:15,Regular
Softlab Inc[ Easy-reseller ],NarendraBs, Narendra Bs Associates           ,Default [ AXIATA ],Requested,2017-02-20 12:09:42,Regular
Softlab Inc[ Easy-reseller ],BalKDhakal,Bal K Dhakal Law Firm            ,Default [ AXIATA ],Requested,2017-02-17 11:21:27,Regular
Softlab Inc[ Easy-reseller ],SSVSS,Siddhi Vinayak Secondary School            ,Default [ AXIATA ],Requested,2017-02-24 22:06:41,Regular
