balance type,amount,description,balance after update
NTC,5000,[ deduced  ] balance alloted to SoftTech Computer Center,,2018-03-02 13:40:10
NTC,10000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal // Email,,2018-03-05 14:17:44
AXIATA,1000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal // Email,,2018-03-05 14:17:55
NTC,2500,[ deduced  ] balance alloted to soham trade and center // telephone,,2018-03-08 11:12:51
AXIATA,2500,[ deduced  ] balance alloted to soham trade and center // telephone,,2018-03-08 11:13:01
AXIATA,1000,[ deduced  ] balance alloted to SoftTech Computer Center // tel,,2018-03-13 16:03:35
APPBAL,10,[ deduced  ] balance alloted to SoftTech Computer Center // app,,2018-03-15 13:23:34
NTC,5000,[ deduced  ] balance alloted to Nepadristi Private Limite // email,,2018-03-15 19:47:38
AXIATA,3000,[ deduced  ] balance alloted to Nepadristi Private Limite // email,,2018-03-15 19:47:47
