Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Creative,Creative School           ,Default [ AXIATA ],Requested,2017-02-08 13:43:34,Regular
Idea-api[ Easy-reseller ],CLPIU,Central Level Project Implementation Unit            ,Default [ AXIATA ],Requested,2017-02-12 13:57:11,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],KMCSchool,KMC School Buddhanagar    ,Default [ AXIATA ],Requested,2017-02-08 12:39:22,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],DANFEY,  Danfey Saccos          ,Default [ AXIATA ],Requested,2017-02-07 16:58:55,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],SathyaSai,Sathyasai,Default [ AXIATA ],Requested,2017-02-12 13:08:42,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AEBS,Annapurna Eng. Boarding School            ,Default [ AXIATA ],Requested,2017-02-17 13:34:32,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],HEBS,Himalaya English Boarding School      ,Default [ AXIATA ],Requested,2017-02-08 12:34:13,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],TribeniSHS,Tribeni Sadan High School,Default [ AXIATA ],Requested,2017-02-17 13:37:07,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AIBS,Ace International Business School ,Default [ AXIATA ],Requested,2017-02-08 12:30:56,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],ASTER,Aster Academy     ,Default [ AXIATA ],Requested,2017-02-12 13:09:53,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],Nawaprabhat,Nawaprabhat Saving And Credit Cooperative Ltd.        ,Default [ AXIATA ],Requested,2017-02-17 13:36:00,Regular
Softlab Inc[ Easy-reseller ],SMTTU,Seti Mahakali Truck Yatayat Byawasayi Sangh            ,Default [ AXIATA ],Requested,2017-02-15 11:26:05,Regular
Softlab Inc[ Easy-reseller ],JSPSMS,JSP Technologies Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-15 11:22:15,Regular
Softlab Inc[ Easy-reseller ],NOBLEIT, Nobel IT Solution           ,Default [ AXIATA ],Requested,2017-02-17 14:24:45,Regular
Softlab Inc[ Easy-reseller ],JTSTikapur,Janaki Traders And Suppliers            ,Default [ AXIATA ],Requested,2017-02-08 14:44:59,Regular
Softlab Inc[ Easy-reseller ],BegnasBusS,Begnas Bus Sewa            ,Default [ AXIATA ],Requested,2017-02-16 12:24:30,Regular
Softlab Inc[ Easy-reseller ],DVSOP,Dream Vision School Of Pharsatikar            ,Default [ AXIATA ],Requested,2017-02-15 11:23:53,Regular
Softlab Inc[ Easy-reseller ],CptSansar,Carpet Sansar            ,Default [ AXIATA ],Requested,2017-02-09 11:44:22,Regular
Softlab Inc[ Easy-reseller ],CES,CES School             ,Default [ AXIATA ],Requested,2017-02-17 08:25:18,Regular
Softlab Inc[ Easy-reseller ],SA,Shuvakamana Academy            ,Default [ AXIATA ],Requested,2017-02-15 11:24:41,Regular
Softlab Inc[ Easy-reseller ],NamoBuddha, Namo Buddha Int'l Model School           ,Default [ AXIATA ],Requested,2017-02-15 11:25:35,Regular
Softlab Inc[ Easy-reseller ],BMS,Business Management Service            ,Default [ AXIATA ],Requested,2017-02-15 11:26:43,Regular
Softlab Inc[ Easy-reseller ],YamahaTKP,Janaki Traders And Suppliers            ,Default [ AXIATA ],Requested,2017-02-15 11:22:47,Regular
Softlab Inc[ Easy-reseller ],TrishulBtm,Trishul Pharma            ,Default [ AXIATA ],Requested,2017-02-17 14:25:12,Regular
Softlab Inc[ Easy-reseller ],PCNepal,Peace Corps Nepal            ,Default [ AXIATA ],Requested,2017-02-08 14:45:35,Regular
Softlab Inc[ Easy-reseller ],Shikshadeep,Shikshadeep School            ,Default [ AXIATA ],Requested,2017-02-16 15:45:13,Regular
Softlab Inc[ Easy-reseller ],GANGAAUTO,Ganga Automobiles            ,Default [ AXIATA ],Requested,2017-02-07 13:45:52,Regular
Softlab Inc[ Easy-reseller ],LEC,Lumbini Engineering College            ,Default [ AXIATA ],Requested,2017-02-15 11:24:18,Regular
Softlab Inc[ Easy-reseller ],BCNTravels,BCN Travels And Tours            ,Default [ AXIATA ],Requested,2017-02-09 12:20:05,Regular
Softlab Inc[ Easy-reseller ],BalKDhakal,Bal K Dhakal Law Firm            ,Default [ AXIATA ],Requested,2017-02-17 11:21:27,Regular
Softlab Inc[ Easy-reseller ],GEETA,Geeta Aviation Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-15 11:25:06,Regular
The Connect Plus Private Limited[ Easy-reseller ],Bhetincha,Bhetincha Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-05 19:09:05,Regular
