balance type,amount,description,balance after update
NTC,5000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-06-15 15:44:59
NTC,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-06-16 14:55:41
AXIATA,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-06-16 14:55:49
NTC,2000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-19 11:17:24
NTC,2858,[ deduced  ] balance alloted to Websoft IT Nepal,,2017-06-25 12:51:46
AXIATA,4285,[ deduced  ] balance alloted to Websoft IT Nepal,,2017-06-25 12:53:07
NTC,5000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-28 12:57:01
NTC,5000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-29 14:21:42
AXIATA,1000,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-06-29 14:21:53
NTC,6000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-07-04 11:15:52
NTC,6000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-07-09 13:42:05
AXIATA,8000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-07-09 13:42:12
