balance type,amount,description,balance after update
NTC,15000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-03-19 13:09:35
AXIATA,5000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-03-19 13:09:43
NTC,5000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-26 11:23:16
NTC,9000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-29 10:15:40
AXIATA,1000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-29 10:15:50
