balance type,amount,description,balance after update
NTC,8000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-07-23 16:13:04
AXIATA,3000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-07-23 16:13:11
APPBAL,1,[ deduced  ] balance alloted to demo-agent-easy,,2017-07-25 16:21:53
NTC,100,[ deduced  ] balance alloted to demo-agent-easy,,2017-07-25 16:21:58
AXIATA,100,[ deduced  ] balance alloted to demo-agent-easy,,2017-07-25 16:22:02
NTC,10000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-07-27 11:31:47
AXIATA,5000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-07-27 11:31:56
