balance type,amount,description,balance after update
NTC,262,[ deduced  ] balance alloted to soham trade and center,,2017-04-20 12:35:17
AXIATA,378,[ deduced  ] balance alloted to soham trade and center,,2017-04-20 12:35:24
NTC,10000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-04-25 11:08:48
AXIATA,5000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-04-25 11:08:54
NTC,2500,[ deduced  ] balance alloted to soham trade and center,,2017-04-25 13:55:53
AXIATA,2500,[ deduced  ] balance alloted to soham trade and center,,2017-04-25 13:55:59
NTC,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-04-26 14:21:58
AXIATA,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-04-26 14:22:06
NTC,10000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2017-05-05 10:49:16
NTC,5000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-05-08 14:43:00
