Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Creative,Creative School           ,Default [ AXIATA ],Requested,2017-02-08 13:43:34,Regular
Idea-api[ Easy-reseller ],CLPIU,Central Level Project Implementation Unit            ,Default [ AXIATA ],Requested,2017-02-12 13:57:11,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],SathyaSai,Sathyasai,Default [ AXIATA ],Requested,2017-02-12 13:08:42,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],HEBS,Himalaya English Boarding School      ,Default [ AXIATA ],Requested,2017-02-08 12:34:13,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AIBS,Ace International Business School ,Default [ AXIATA ],Requested,2017-02-08 12:30:56,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],ASTER,Aster Academy     ,Default [ AXIATA ],Requested,2017-02-12 13:09:53,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],KMCSchool,KMC School Buddhanagar    ,Default [ AXIATA ],Requested,2017-02-08 12:39:22,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],DANFEY,  Danfey Saccos          ,Default [ AXIATA ],Requested,2017-02-07 16:58:55,Regular
Softlab Inc[ Easy-reseller ],PCNepal,Peace Corps Nepal            ,Default [ AXIATA ],Requested,2017-02-08 14:45:35,Regular
Softlab Inc[ Easy-reseller ],GANGAAUTO,Ganga Automobiles            ,Default [ AXIATA ],Requested,2017-02-07 13:45:52,Regular
Softlab Inc[ Easy-reseller ],BCNTravels,BCN Travels And Tours            ,Default [ AXIATA ],Requested,2017-02-09 12:20:05,Regular
Softlab Inc[ Easy-reseller ],JTSTikapur,Janaki Traders And Suppliers            ,Default [ AXIATA ],Requested,2017-02-08 14:44:59,Regular
Softlab Inc[ Easy-reseller ],CptSansar,Carpet Sansar            ,Default [ AXIATA ],Requested,2017-02-09 11:44:22,Regular
The Connect Plus Private Limited[ Easy-reseller ],Bhetincha,Bhetincha Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-02-05 19:09:05,Regular
