balance type,amount,description,balance after update
NTC,8000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2016-12-25 13:06:33
AXIATA,2000,[ deduced  ] balance alloted to supreme it solution pvt. ltd.,,2016-12-25 13:06:40
NTC,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2016-12-29 13:42:10
AXIATA,4000,[ deduced  ] balance alloted to Nepadristi Private Limite // transfering balnce from api to reseller,,2016-12-29 13:42:25
APPBAL,50,[ deduced  ] balance alloted to Nepadristi Private Limite,,2016-12-29 13:43:18
NTC,1496,[ deduced  ] balance alloted to Mobile Track Pvt Ltd // TRANSFERRED FROM THEIR CLIENT,,2016-12-29 14:23:13
AXIATA,503,[ deduced  ] balance alloted to Mobile Track Pvt Ltd // TRANSFERRED FROM THEIR CLIENT,,2016-12-29 14:23:38
APPBAL,21,[ deduced  ] balance alloted to Mobile Track Pvt Ltd,,2016-12-29 14:23:57
NTC,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-01-08 16:04:18
AXIATA,5000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-01-08 16:04:25
