Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Idea-api[ Easy-reseller ],PAHS,Patan Academy Of Health Sciences            ,Default [ AXIATA ],Requested,2017-01-01 13:42:42,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],MassHR,     Mass Human Resource       ,Default [ AXIATA ],Requested,2016-12-27 13:56:13,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],LonlyPlanet,     Lonely Planet       ,Default [ AXIATA ],Requested,2016-12-20 13:49:26,Regular
Softlab Inc[ Easy-reseller ],SecondHand,Bisesta 2nd Hand            ,Default [ AXIATA ],Requested,2016-12-26 10:35:23,Regular
Softlab Inc[ Easy-reseller ],Supportise,Supportise Computers     ,Default [ AXIATA ],Requested,2016-12-29 14:11:32,Regular
Softlab Inc[ Easy-reseller ],BusTroop,Bus Troop Pvt. Ltd.            ,Default [ AXIATA ],Requested,2016-12-29 14:13:28,Regular
Softlab Inc[ Easy-reseller ],RamgramMun,Ramgram Municipality            ,Default [ AXIATA ],Requested,2016-12-26 10:34:08,Regular
Softlab Inc[ Easy-reseller ],UGCSMS,Uniglobe College            ,Default [ AXIATA ],Requested,2016-12-26 10:34:53,Regular
Softlab Inc[ Easy-reseller ],Brightlight,Bright Light Academy Kohalpur            ,Default [ AXIATA ],Requested,2016-12-29 14:12:05,Regular
Softlab Inc[ Easy-reseller ],UniGlobe,Uniglobe College            ,Default [ AXIATA ],Requested,2016-12-26 10:34:30,Regular
