Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],ArthaMCL,None,Default [ AXIATA ],Requested,2016-11-28 16:28:14,Regular
Idea-api[ Easy-reseller ],JAYCEES,None,Default [ AXIATA ],Requested,2016-11-24 11:51:33,Regular
Idea-api[ Easy-reseller ],Qualtosoft,None,Default [ AXIATA ],Requested,2016-11-24 17:27:30,Regular
E-prima Technology Pvt. Ltd.[ Easy Service Pvt. Ltd. ],EplanetCTW,E-Planet Chitwan    ,Default [ AXIATA ],Requested,2016-12-03 08:06:33,Regular
E-prima Technology Pvt. Ltd.[ Easy Service Pvt. Ltd. ],GraceAcadem,None,Default [ AXIATA ],Requested,2016-11-21 11:27:16,Regular
Softlab Inc[ Easy-reseller ],Asthashree,None,Default [ AXIATA ],Requested,2016-11-30 07:31:06,Regular
Softlab Inc[ Easy-reseller ],DDCGorkha,None,Default [ AXIATA ],Requested,2016-11-30 07:25:41,Regular
Softlab Inc[ Easy-reseller ],SegaLink,None,Default [ AXIATA ],Requested,2016-11-22 15:15:34,Regular
Softlab Inc[ Easy-reseller ],Mahendra,None,Default [ AXIATA ],Requested,2016-11-30 07:29:35,Regular
Softlab Inc[ Easy-reseller ],Aadarsha,None,Default [ AXIATA ],Requested,2016-11-23 21:51:04,Regular
Softlab Inc[ Easy-reseller ],SHSS,None,Default [ AXIATA ],Requested,2016-11-30 07:24:46,Regular
Softlab Inc[ Easy-reseller ],HelloEPS,None,Default [ AXIATA ],Requested,2016-11-30 07:27:45,Regular
Softlab Inc[ Easy-reseller ],IKhanepani,None,Default [ AXIATA ],Requested,2016-11-22 15:15:48,Regular
Soham Trade & Center[ Soham Trade And Center ],HeroEletric,None,Default [ AXIATA ],Requested,2016-12-01 13:45:55,Regular
