Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],3BrothersHR,Three Brothers Human Resource Pvt.Ltd        ,Default [ AXIATA ],Requested,2017-01-29 13:21:59,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],MPA,Multi Professional Academy,Default [ AXIATA ],Requested,2017-02-05 15:39:48,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],CAGEBS,Constellation Academic Garden English Boarding School            ,Default [ AXIATA ],Requested,2017-01-29 13:22:41,Regular
Idea-api[ Easy-reseller ],NEHUB,Nepal Entrepreneurs' Hub            ,Default [ AXIATA ],Requested,2017-01-26 18:38:15,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],UVI,       Manmohan Memorial     ,Default [ AXIATA ],Requested,2017-01-10 16:46:29,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],CSoverseas,C.S. Overseas Pvt. Ltd.  ,Default [ AXIATA ],Requested,2017-01-27 11:28:26,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],CBSchitwan,Statistics Office, Chitwan       ,Default [ AXIATA ],Requested,2017-01-16 09:40:30,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],FullMoonOvs,Full Moon Overseas Services Pvt. Ltd.      ,Default [ AXIATA ],Requested,2017-01-10 16:46:10,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],TejasviCom,Tejasvi Computer Support            ,Default [ AXIATA ],Requested,2017-01-16 09:28:48,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],ArjanSaccos,Arjan Saving And Credit Cooperative Ltd.            ,Default [ AXIATA ],Requested,2017-01-27 11:30:25,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],RaviDMC,    Vision Groceries        ,Default [ AXIATA ],Requested,2017-01-26 13:59:19,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],eimssoft,    Eims Software        ,Default [ AXIATA ],Requested,2017-01-10 16:41:24,Regular
Softlab Inc[ Easy-reseller ],KumudiniHSS,Kumudini Higher Secondary School            ,Default [ AXIATA ],Requested,2017-01-26 15:56:06,Regular
Softlab Inc[ Easy-reseller ],BA,Bageshwari Academy            ,Default [ AXIATA ],Requested,2017-02-01 10:03:08,Regular
Softlab Inc[ Easy-reseller ],KHHSSPkr,Zerone Technology Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-01-23 13:03:47,Regular
Softlab Inc[ Easy-reseller ],WebzoneIT,Webzone IT Solutions Pvt. Ltd         ,Default [ AXIATA ],Requested,2017-01-29 14:02:59,Regular
Softlab Inc[ Easy-reseller ],Itel,ITEL Communication Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-01-26 15:54:17,Regular
Softlab Inc[ Easy-reseller ],WebSMS,Soft Lab Inc Pvt. Ltd.,Default [ AXIATA ],Requested,2017-01-29 14:04:23,Regular
Presidential Business School[ Nepadristi Private Limite ],PBSinfo,            Presidential Business School,Default [ AXIATA ],Requested,2017-01-23 12:14:15,Regular
TTHS[ Nepadristi Private Limite ],TinyTots,Tiny Tots Higher Secondary School            ,Default [ NTC ],Requested,2017-02-01 08:27:27,Regular
TTHS[ Nepadristi Private Limite ],TinyTots,Tiny Tots Higher Secondary School            ,Default [ AXIATA ],Requested,2017-02-01 08:27:50,Regular
Easy3[ NB CHAND ],3234,Easy            ,Default [ NTC ],Requested,2017-01-24 13:35:49,Regular
