balance type,amount,description,balance after update
NTC,13000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-05-16 10:46:34
AXIATA,7000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-05-16 10:46:38
APPBAL,30,[ deduced  ] balance alloted to Websoft IT Nepal,,2017-05-24 14:34:58
AXIATA,500,[ deduced  ] balance alloted to Websoft IT Nepal,,2017-05-24 14:50:18
NTC,3072,[ deduced  ] balance alloted to Websoft IT Nepal,,2017-05-24 14:50:24
NTC,10000,[ deduced  ] balance alloted to soham trade and center,,2017-06-02 11:31:50
AXIATA,10000,[ deduced  ] balance alloted to soham trade and center,,2017-06-02 11:31:57
NTC,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-06-05 12:46:26
AXIATA,10000,[ deduced  ] balance alloted to Nepadristi Private Limite,,2017-06-05 12:47:24
NTC,3000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-13 11:49:44
AXIATA,1000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-13 11:49:50
NTC,10000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-14 12:26:18
AXIATA,3000,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-06-14 12:26:24
