Sender ID,Operator/Gateway,Description,State,Date
GANGAAUTO,Default [ AXIATA ],Requested,Ganga Automobiles            ,2017-02-07 13:45:52
JTSTikapur,Default [ AXIATA ],Requested,Janaki Traders And Suppliers            ,2017-02-08 14:44:59
PCNepal,Default [ AXIATA ],Requested,Peace Corps Nepal            ,2017-02-08 14:45:35
CptSansar,Default [ AXIATA ],Requested,Carpet Sansar            ,2017-02-09 11:44:22
BCNTravels,Default [ AXIATA ],Requested,BCN Travels And Tours            ,2017-02-09 12:20:05
JSPSMS,Default [ AXIATA ],Requested,JSP Technologies Pvt. Ltd.            ,2017-02-15 11:22:15
YamahaTKP,Default [ AXIATA ],Requested,Janaki Traders And Suppliers            ,2017-02-15 11:22:47
DVSOP,Default [ AXIATA ],Requested,Dream Vision School Of Pharsatikar            ,2017-02-15 11:23:53
LEC,Default [ AXIATA ],Requested,Lumbini Engineering College            ,2017-02-15 11:24:18
SA,Default [ AXIATA ],Requested,Shuvakamana Academy            ,2017-02-15 11:24:41
GEETA,Default [ AXIATA ],Requested,Geeta Aviation Pvt. Ltd.            ,2017-02-15 11:25:06
NamoBuddha,Default [ AXIATA ],Requested, Namo Buddha Int'l Model School           ,2017-02-15 11:25:35
SMTTU,Default [ AXIATA ],Requested,Seti Mahakali Truck Yatayat Byawasayi Sangh            ,2017-02-15 11:26:05
BMS,Default [ AXIATA ],Requested,Business Management Service            ,2017-02-15 11:26:43
BegnasBusS,Default [ AXIATA ],Requested,Begnas Bus Sewa            ,2017-02-16 12:24:30
Shikshadeep,Default [ AXIATA ],Requested,Shikshadeep School            ,2017-02-16 15:45:13
CES,Default [ AXIATA ],Requested,CES School             ,2017-02-17 08:25:18
