balance type,amount,description,balance after update
NTC,20,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 00:09:57
AXIATA,18,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 00:09:59
NTC,50,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:27:56
AXIATA,10,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:28:01
NTC,100,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:29:57
NTC,61,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:29:59
AXIATA,100,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:30:01
AXIATA,100,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:30:03
AXIATA,100,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:30:06
AXIATA,10,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:30:09
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 07:56:56
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 08:42:54
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:03:00
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:03:08
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:03:12
NTC,128,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:07:04
AXIATA,38,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:07:09
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:16:01
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:22:57
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:23:58
NTC,100,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:27:54
NTC,53,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:27:59
AXIATA,21,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:28:13
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:33:02
NTC,200,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:34:54
NTC,116,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:34:57
AXIATA,200,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:35:09
AXIATA,98,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:35:12
NTC,20,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:40:54
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:40:57
NTC,8,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:42:03
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:42:14
NTC,18,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:42:58
NTC,6,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:43:58
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:44:01
NTC,22,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:44:54
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:45:54
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:45:57
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:46:01
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-03-05 10:46:13
