Sender ID,Operator/Gateway,Description,State,Date
Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Initiative,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
TITANIC,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Bernhardt,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
PAJU,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
RARA,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
LuckyHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GrandS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
FloridHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Prudential,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
KoshiIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
DDOVERSEAS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
National,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Aadarsha,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Dewan,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Niwida,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Motherland,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Amcon,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Evergreen,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Aakriti,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NEGOSAA,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SCMM,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Eurokids,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Milestone,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Horizon,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
HUBINTL,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NEFEG,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Grandsuite,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Career,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Adventure,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Starworld,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
BMoverseas,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Mensa,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Kathmandu,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Allsecure,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NEFEMA,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
PSON,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Crown,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Lifeintl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
kandk,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ICHM,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
FLYTECH,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Prayas,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Meridian,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Majesty,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NasserNOC,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NGSCBA,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Sambriddhi,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
MegaMove,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
MeridianOVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Samyog,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Montage,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Birat,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Worldvision,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Ayush,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Veerkotkali,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SMRNepal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
CodeIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Humour,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
WiseIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Nepaintl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
MRCSN,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
OxfordIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
RakiIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AlDahabiya,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NimbusHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Dharma,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Friendship,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
MassHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Agni,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Dakshinkali,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GulfaEmp,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NewGlobal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Tinjure,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Araniko,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
LinkonIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Jugalintl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Birad,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AlZafar,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Jupiter,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Sterling,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SpeedOVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Navajeevan,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
JobCenter,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Hakuho,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Nepalintl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
FocusNepal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Hamidah,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
IndmanNep,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NAASAHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Shubhharati,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Siddhartha,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Young,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AromaIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SaanNepal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Indoasian,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Sahara,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Sajima,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Sewa,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
TrustNepal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Worldtouch,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Precise,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Gorkhas,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Yacca,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Marigold,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
BabyAngel,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SigmaOVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Whitepearl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
DHRNepal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
DestinyPS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
HMS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
OzoneOvs,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
RelationEmp,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ImperialOvs,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Worldwide,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
BishwasOvs,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AsiaLink,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
NabilOvs,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Klemp,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
PotalaOvs,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Societal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SVASSO,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
PukarIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SkyWay,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GreaterVSN,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
CapitalInt,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GreatSky,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GolfInnov,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Versatile,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Caravan,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
UnitedHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
UnitedIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Kankai,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
CareerIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Equator,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Damaru,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Tirupati,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GurungMgmt,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
GlobalAll,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
RaptiPlace,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
THENEXT,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
HiNepal,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
JLECC,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AlShoalat,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Diana,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Ocean,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Noor,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
LibertyHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AsmitaIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AseanaIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
RBOverseas,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SuryaIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
MeridianMan,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Asahi,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AppleOVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
SecureMR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
KanchanHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AERC,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AbcIntl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AbcPlace,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AceEmp,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ACMT,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
Akalpa,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AliOverseas,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AlNaseer,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AlphaSigma,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AnupamVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ApenAcademy,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ApiSchool,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ArunOVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ASintl,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AtlasOVS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
ATWS,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
AuroraHR,Default [ AXIATA ],Approved,None,2016-05-12 19:32:50
