balance type,amount,description,balance after update
NTC,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-23 14:42:47
AXIATA,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-23 14:42:59
NTC,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-25 13:36:44
AXIATA,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-25 13:36:51
NTC,5000,[ alloted  ] balance alloted by admin,,2017-01-25 15:11:44
AXIATA,1000,[ alloted  ] balance alloted by admin,,2017-01-25 15:11:49
NTC,3700,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-25 15:23:15
AXIATA,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-01-26 10:48:41
NTC,69,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-02-28 11:38:26
NTC,25,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-02-28 12:06:15
AXIATA,25,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-02-28 12:06:29
NTC,150,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-01 11:56:36
NTC,350,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-16 15:20:06
NTC,100,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-03-16 15:20:51
AXIATA,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-16 15:22:08
AXIATA,100,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-16 15:22:25
AXIATA,100,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-03-16 15:22:41
NTC,908,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-20 15:20:59
NTC,5000,[ alloted  ] balance alloted by admin,,2017-03-26 11:23:16
NTC,2956,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-26 12:07:22
NTC,97,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-03-26 12:07:56
AXIATA,456,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-26 12:09:50
NTC,365,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-26 13:05:27
NTC,9000,[ alloted  ] balance alloted by admin,,2017-03-29 10:15:40
AXIATA,1000,[ alloted  ] balance alloted by admin,,2017-03-29 10:15:50
NTC,3300,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-29 10:22:28
NTC,3300,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-29 10:22:45
NTC,3300,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-03-29 10:23:05
NTC,60,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-29 10:43:04
NTC,3300,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-30 11:58:19
AXIATA,200,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-30 11:58:41
NTC,70,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-03-30 12:14:56
NTC,105,[ deduced  ] balance alloted to ican,,2017-04-02 10:52:47
AXIATA,15,[ deduced  ] balance alloted to ican,,2017-04-02 10:54:01
NTC,1191,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-04-03 14:07:04
NTC,500,[ deduced  ] balance alloted to the institute of chartered accountants of nepal,,2017-04-24 11:31:52
