balance type,amount,description,balance after update
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:24:21
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:27:35
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:32:01
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:45:13
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:52:40
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 16:53:42
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:00:22
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:01:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:03:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:10:02
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-06 17:10:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-13 16:42:47
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-13 16:43:05
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 11:56:17
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 11:57:30
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:01:10
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:01:49
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:02:18
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:05:34
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:06:06
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:07:00
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:11:20
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:12:08
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:13:16
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:13:44
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:16:58
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-14 12:37:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-20 10:40:12
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-20 10:41:04
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-10 17:18:50
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:05:37
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:07:47
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:09:53
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:10:50
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:11:40
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:12:13
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:12:54
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:13:36
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:14:17
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:15:35
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-11 18:16:37
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-12 10:14:24
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-12 10:15:51
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2017-06-12 10:45:56
