balance type,amount,description,balance after update
NTC,1429,[ alloted  ] balance alloted by admin,,2017-04-13 16:59:10
AXIATA,2000,[ alloted  ] balance alloted by admin,,2017-04-13 16:59:26
NTC,11,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:25:59
AXIATA,27,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:25:59
AXIATA,40,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:27:54
NTC,15,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:27:54
AXIATA,39,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:30:38
NTC,25,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:30:38
NTC,24,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:34:12
AXIATA,65,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:34:12
AXIATA,85,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:37:11
NTC,30,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:37:11
NTC,62,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:40:26
AXIATA,29,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:40:26
AXIATA,36,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:44:10
NTC,49,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:44:10
NTC,28,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:48:55
AXIATA,79,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:48:55
NTC,109,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:55:06
AXIATA,82,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:55:06
AXIATA,53,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:59:25
NTC,93,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-13 17:59:25
