balance type,amount,description,balance after update
NTC,357,[ alloted  ] balance alloted by admin,,2017-04-07 16:10:43
AXIATA,357,[ alloted  ] balance alloted by admin,,2017-04-07 16:10:47
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 16:39:04
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 16:45:52
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 16:45:52
NTC,12,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 21:36:14
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 21:36:14
NTC,324,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 22:16:09
AXIATA,3,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-07 22:16:09
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-08 11:06:01
NTC,4,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-08 11:07:38
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-09 13:58:23
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-04-17 16:38:24
