Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Cello[ Acer ],cello,none,Default [ AXIATA ],Approved,2016-09-01 12:04:13,Regular
Cello[ Acer ],cellosms,None,Default [ AXIATA ],Approved,2016-09-01 12:49:35,Regular
Cello[ Acer ],cellos,None,Default [ AXIATA ],Approved,2016-09-01 12:49:35,Regular
