balance type,amount,description,balance after update
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-23 11:41:45
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-23 11:43:24
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-23 11:45:30
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-23 13:35:08
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-23 14:21:17
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-23 16:17:38
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:47:56
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:50:17
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:52:03
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:53:38
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:55:14
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:57:01
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 12:58:59
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-25 13:01:05
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:14:10
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:15:50
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:17:45
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:19:32
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:24:37
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:26:05
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 14:27:40
AXIATA,4,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 15:32:12
NTC,12,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 15:32:12
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 15:33:51
AXIATA,2,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 15:33:51
NTC,6,[ deduced  ] Balance deduced due to Sending SMS,,2016-12-26 15:41:04
