balance type,amount,description,balance after update
NTC,1000,[ deduced  ] balance alloted to Thakur International ,,2017-06-15 12:05:26
AXIATA,1000,[ deduced  ] balance alloted to Thakur International ,,2017-06-15 12:05:30
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-16 12:59:24
NTC,15000,[ deduced  ] balance alloted to the connect plus private limited,,2017-06-16 14:51:47
AXIATA,5000,[ deduced  ] balance alloted to the connect plus private limited,,2017-06-16 14:51:51
NTC,50000,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-06-18 11:06:24
AXIATA,50000,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-06-18 11:06:37
NTC,200000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-06-18 16:59:01
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-06-18 16:59:10
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-06-19 14:21:35
NTC,3572,[ deduced  ] balance alloted to zenith education promotion private limited,,2017-06-22 08:28:11
NTC,2000,[ deduced  ] balance alloted to orbit mbbs,,2017-06-22 13:08:53
AXIATA,1500,[ deduced  ] balance alloted to orbit mbbs,,2017-06-22 13:09:02
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-22 14:07:00
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-22 14:07:11
NTC,10000,[ deduced  ] balance alloted to softlab inc,,2017-06-23 12:25:47
AXIATA,15000,[ deduced  ] balance alloted to softlab inc,,2017-06-23 12:27:11
NTC,2000,[ deduced  ] balance alloted to triton international college,,2017-06-23 14:55:05
AXIATA,2000,[ deduced  ] balance alloted to triton international college,,2017-06-23 14:55:10
NTC,15000,[ deduced  ] balance alloted to the connect plus private limited,,2017-06-25 13:19:35
AXIATA,10000,[ deduced  ] balance alloted to the connect plus private limited,,2017-06-25 13:19:44
NTC,1000,[ deduced  ] balance alloted to sagarmatha engineering college,,2017-06-25 16:29:43
AXIATA,1000,[ deduced  ] balance alloted to sagarmatha engineering college,,2017-06-25 16:29:47
NTC,2857,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-06-26 10:43:22
AXIATA,715,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-06-26 10:43:31
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-27 08:11:56
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-27 08:12:04
NTC,769,[ deduced  ] balance alloted to kanjirowa national h.s. school,,2017-06-27 12:05:12
NTC,1072,[ deduced  ] balance alloted to ims investment management services private limited,,2017-06-29 13:00:37
AXIATA,1072,[ deduced  ] balance alloted to ims investment management services private limited,,2017-06-29 13:00:42
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-29 14:25:59
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-29 14:26:04
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-06-30 10:45:42
AXIATA,20000,[ deduced  ] balance alloted to softlab inc,,2017-06-30 10:45:47
AXIATA,200000,[ deduced  ] balance alloted to synergy tech software,,2017-06-30 15:21:45
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-07-02 13:05:13
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-07-02 13:05:18
NTC,5000,[ deduced  ] balance alloted to sasto sms private limited,,2017-07-03 12:37:57
AXIATA,5000,[ deduced  ] balance alloted to sasto sms private limited,,2017-07-03 12:38:01
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-04 11:00:17
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-04 11:00:22
NTC,10000,[ deduced  ] balance alloted to guru infosys(default),,2017-07-04 11:16:22
AXIATA,5000,[ deduced  ] balance alloted to guru infosys(default),,2017-07-04 11:16:26
NTC,1500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-07-05 11:38:59
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-07-06 13:15:33
NTC,3243,[ deduced  ] balance alloted to excel business college,,2017-07-06 15:04:43
AXIATA,1757,[ deduced  ] balance alloted to excel business college,,2017-07-06 15:04:51
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-07-09 13:44:24
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-07-09 13:44:32
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-11 12:15:44
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-11 12:15:49
NTC,2500,[ deduced  ] balance alloted to ace higher secondary school,,2017-07-12 12:31:06
NTC,2500,alloted : Balance deduced from ace higher secondary school,,2017-07-12 14:50:20
NTC,25000,[ deduced  ] balance alloted to ace institute of management,,2017-07-12 14:50:54
NTC,25000,alloted : Balance deduced from ace institute of management,,2017-07-12 16:07:52
NTC,25000,[ deduced  ] balance alloted to ace higher secondary school,,2017-07-12 16:08:17
