balance type,amount,description,balance after update
NTC,15000,[ deduced  ] balance alloted to the connect plus private limited,,2017-03-14 12:16:59
AXIATA,5000,[ deduced  ] balance alloted to the connect plus private limited,,2017-03-14 12:17:08
NTC,500,[ deduced  ] balance alloted to triton international college,,2017-03-14 16:22:39
AXIATA,500,[ deduced  ] balance alloted to triton international college,,2017-03-14 16:22:43
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-14 16:48:56
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-03-15 10:27:19
NTC,1000,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-03-15 11:41:13
AXIATA,1143,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-03-15 11:41:20
AXIATA,1000,[ deduced  ] balance alloted to triton international college,,2017-03-15 15:57:24
NTC,500,[ deduced  ] balance alloted to triton international college,,2017-03-15 15:57:29
NTC,50,[ deduced  ] balance alloted to easy-demo2,,2017-03-17 16:36:52
AXIATA,50,[ deduced  ] balance alloted to easy-demo2,,2017-03-17 16:36:56
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-21 13:56:20
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-21 13:56:25
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-03-22 14:32:18
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-03-22 14:32:30
NTC,3572,[ deduced  ] balance alloted to zenith education promotion private limited,,2017-03-26 12:31:40
NTC,1000,[ deduced  ] balance alloted to triton international college,,2017-03-26 13:12:40
AXIATA,1000,[ deduced  ] balance alloted to triton international college,,2017-03-26 13:12:45
NTC,200000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-03-26 13:25:14
AXIATA,200000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-03-26 13:25:19
NTC,500,[ deduced  ] balance alloted to triton international college,,2017-03-26 14:43:55
AXIATA,500,[ deduced  ] balance alloted to triton international college,,2017-03-26 14:43:59
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-26 14:46:11
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-26 14:46:17
NTC,350,[ deduced  ] balance alloted to strikesales,,2017-03-27 15:32:54
AXIATA,150,[ deduced  ] balance alloted to strikesales,,2017-03-27 15:32:59
NTC,2000,[ deduced  ] balance alloted to  Panorama Institute Pvt.Ltd. // 6000 package,,2017-03-29 18:39:55
AXIATA,3000,[ deduced  ] balance alloted to  Panorama Institute Pvt.Ltd. // 6000 package,,2017-03-29 18:40:00
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-03-30 10:54:46
NTC,5000,[ deduced  ] balance alloted to sasto sms private limited,,2017-03-30 14:20:59
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-31 14:14:38
