balance type,amount,description,balance after update
NTC,1500,[ deduced  ] balance alloted to hamro saving and credit cooperative society limited,,2017-01-23 11:05:32
AXIATA,500,[ deduced  ] balance alloted to hamro saving and credit cooperative society limited,,2017-01-23 11:05:46
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-01-26 12:30:58
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-01-26 12:31:06
NTC,1000,[ deduced  ] balance alloted to kanjirowa national h.s. school,,2017-01-26 12:47:03
NTC,500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-01-26 15:12:19
AXIATA,500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-01-26 15:12:34
NTC,1000,[ deduced  ] balance alloted to Pace Infosys Private Limited,,2017-01-27 10:31:13
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-27 14:31:07
