balance type,amount,description,balance after update
AXIATA,4449,alloted : Balance deduced from easy-client,,2016-12-02 23:24:41
AXIATA,4000,[ deduced  ] balance alloted to easy-client,,2016-12-02 23:25:06
AXIATA,1606,alloted : Balance deduced from easy-api,,2016-12-02 23:25:31
AXIATA,10,[ deduced  ] balance alloted to easy-api,,2016-12-02 23:26:56
NTC,2000,[ deduced  ] balance alloted to orbit mbbs,,2016-12-03 11:22:06
AXIATA,1000,[ deduced  ] balance alloted to orbit mbbs,,2016-12-03 11:22:13
AXIATA,1000,[ deduced  ] balance alloted to easy-api,,2016-12-04 18:44:46
NTC,3000,[ deduced  ] balance alloted to Pace Infosys Private Limited,,2016-12-05 10:44:42
AXIATA,2000,[ deduced  ] balance alloted to Pace Infosys Private Limited,,2016-12-05 10:44:49
NTC,5,[ deduced  ] balance alloted to easy-demo,,2016-12-06 14:45:46
AXIATA,5,[ deduced  ] balance alloted to easy-demo,,2016-12-06 14:45:50
NTC,10,[ deduced  ] balance alloted to easy-demo,,2016-12-06 15:12:24
AXIATA,10,[ deduced  ] balance alloted to easy-demo,,2016-12-06 15:12:29
NTC,2145,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2016-12-06 16:19:13
AXIATA,1427,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2016-12-06 16:19:25
NTC,200000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2016-12-07 10:46:48
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2016-12-07 13:07:53
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2016-12-07 13:08:07
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2016-12-08 12:00:08
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2016-12-08 12:00:18
NTC,5000,[ deduced  ] balance alloted to civil service hospital,,2016-12-09 11:46:54
NTC,10000,[ deduced  ] balance alloted to nepadristi private limited // email,,2016-12-13 10:44:05
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2016-12-14 16:27:16
