Request By,Sender ID,Operator/Gateway,State,Date
Initiative Nepal Pvt. Ltd.,Nassar,Default [ AXIATA ],Requested,2017-03-20 18:05:44
Initiative Nepal Pvt. Ltd.,NMFurniture,Default [ AXIATA ],Requested,2017-03-27 14:12:04
Initiative Nepal Pvt. Ltd.,LuluIntl,Default [ AXIATA ],Requested,2017-03-20 18:06:49
Initiative Nepal Pvt. Ltd.,GoodAuto,Default [ AXIATA ],Requested,2017-03-20 18:11:04
Initiative Nepal Pvt. Ltd.,ABCEdu,Default [ AXIATA ],Requested,2017-03-20 18:05:08
Initiative Nepal Pvt. Ltd.,APlus,Default [ AXIATA ],Requested,2017-03-20 18:06:16
Initiative Nepal Pvt. Ltd.,Smile,Default [ AXIATA ],Requested,2017-03-27 14:13:09
Initiative Nepal Pvt. Ltd.,DIMAAcademy,Default [ AXIATA ],Requested,2017-03-20 18:07:47
Idea-api,TSC,Default [ AXIATA ],Requested,2017-04-02 10:52:45
E-prima Technology Pvt. Ltd.,HelpSaccos,Default [ AXIATA ],Requested,2017-04-07 13:27:08
E-prima Technology Pvt. Ltd.,DCULalitpur,Default [ AXIATA ],Requested,2017-03-24 11:44:05
E-prima Technology Pvt. Ltd.,RADIANT,Default [ AXIATA ],Requested,2017-03-29 15:58:31
E-prima Technology Pvt. Ltd.,PavilSchool,Default [ AXIATA ],Requested,2017-03-29 16:03:34
E-prima Technology Pvt. Ltd.,PoliceSchol,Default [ AXIATA ],Requested,2017-04-06 17:43:10
E-prima Technology Pvt. Ltd.,TheBritish,Default [ AXIATA ],Requested,2017-03-24 11:41:14
E-prima Technology Pvt. Ltd.,EarthLink,Default [ AXIATA ],Requested,2017-04-03 13:08:41
E-prima Technology Pvt. Ltd.,SpeedAuto,Default [ AXIATA ],Requested,2017-04-07 13:28:32
E-prima Technology Pvt. Ltd.,EDUHUB,Default [ AXIATA ],Requested,2017-03-24 11:45:30
E-prima Technology Pvt. Ltd.,FFWPUNepal,Default [ AXIATA ],Requested,2017-03-29 16:01:36
E-prima Technology Pvt. Ltd.,cscc,Default [ AXIATA ],Requested,2017-03-20 14:25:22
Softlab Inc,HosteHaise,Default [ AXIATA ],Requested,2017-03-20 18:31:57
Softlab Inc,Pardarshi,Default [ AXIATA ],Requested,2017-04-01 10:43:22
Softlab Inc,Rightstep,Default [ AXIATA ],Requested,2017-03-20 18:23:24
Softlab Inc,DigoSansar,Default [ AXIATA ],Requested,2017-03-28 11:34:04
Softlab Inc,DCCNaparasi,Default [ AXIATA ],Requested,2017-03-26 12:21:27
Softlab Inc,DCCGorkha,Default [ AXIATA ],Requested,2017-03-26 12:16:20
Softlab Inc,Educare,Default [ AXIATA ],Requested,2017-04-03 13:52:03
Softlab Inc,GitsCass,Default [ AXIATA ],Requested,2017-03-22 14:13:24
Softlab Inc,Devdaha,Default [ AXIATA ],Requested,2017-04-01 10:45:33
Softlab Inc,SFS,Default [ AXIATA ],Requested,2017-03-20 18:24:23
Softlab Inc,Sagarmatha,Default [ AXIATA ],Requested,2017-03-27 15:06:43
Softlab Inc,DCCSyangja,Default [ AXIATA ],Requested,2017-03-26 12:22:40
Softlab Inc,DCCKaski,Default [ AXIATA ],Requested,2017-03-26 12:17:17
Softlab Inc,DCCChitwan,Default [ AXIATA ],Requested,2017-03-26 12:13:02
Softlab Inc,PrabhatCoOp,Default [ AXIATA ],Requested,2017-04-03 13:53:12
Softlab Inc,Moods,Default [ AXIATA ],Requested,2017-03-23 17:00:23
Softlab Inc,HiWayplza,Default [ AXIATA ],Requested,2017-04-01 10:46:39
Softlab Inc,PHSEBS,Default [ AXIATA ],Requested,2017-03-20 18:27:53
Softlab Inc,JasminPaint,Default [ AXIATA ],Requested,2017-03-27 15:08:39
Softlab Inc,DCCTTM,Default [ AXIATA ],Requested,2017-03-26 12:25:03
Softlab Inc,DCCMustang,Default [ AXIATA ],Requested,2017-03-26 12:18:14
Softlab Inc,DCCDhading,Default [ AXIATA ],Requested,2017-03-26 12:15:53
Softlab Inc,OxfordHSS,Default [ AXIATA ],Requested,2017-03-22 14:08:13
Softlab Inc,SEBS,Default [ AXIATA ],Requested,2017-04-01 10:43:53
Softlab Inc,NMA,Default [ AXIATA ],Requested,2017-03-20 18:23:54
Softlab Inc,AsianHotels,Default [ AXIATA ],Requested,2017-03-28 11:34:39
Softlab Inc,DCCPalpa,Default [ AXIATA ],Requested,2017-03-26 12:21:53
Softlab Inc,DCCGulmi,Default [ AXIATA ],Requested,2017-03-26 12:16:54
Softlab Inc,KjSS,Default [ AXIATA ],Requested,2017-04-03 13:52:39
Softlab Inc,SMIS,Default [ AXIATA ],Requested,2017-03-23 16:56:55
Softlab Inc,EverestUlb,Default [ AXIATA ],Requested,2017-04-01 10:46:02
Softlab Inc,PEMS,Default [ AXIATA ],Requested,2017-03-20 18:24:57
Softlab Inc,Mangalam,Default [ AXIATA ],Requested,2017-03-27 15:07:23
Softlab Inc,DCCTanahun,Default [ AXIATA ],Requested,2017-03-26 12:23:08
Softlab Inc,DCCLamjung,Default [ AXIATA ],Requested,2017-03-26 12:17:43
Softlab Inc,DCCdadeldhu,Default [ AXIATA ],Requested,2017-03-26 12:14:50
Softlab Inc,Pali,Default [ AXIATA ],Requested,2017-04-05 22:41:16
Softlab Inc,Pacific,Default [ AXIATA ],Requested,2017-03-23 17:00:52
