balance type,amount,description,balance after update
NTC,3572,[ deduced  ] balance alloted to zenith education promotion private limited,,2016-12-16 11:59:32
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2016-12-19 10:33:50
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2016-12-20 12:19:40
NTC,2500,[ deduced  ] balance alloted to Pace Infosys Private Limited,,2016-12-21 13:37:59
NTC,1000,[ deduced  ] balance alloted to Pace Infosys Private Limited,,2016-12-21 13:44:28
NTC,5000,[ deduced  ] balance alloted to easy-push,,2016-12-23 12:41:22
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2016-12-23 13:36:36
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2016-12-23 13:36:42
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2016-12-25 14:56:28
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2016-12-27 12:22:47
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2016-12-27 12:22:53
NTC,4500,[ deduced  ] balance alloted to zenith education promotion private limited,,2016-12-27 14:48:31
AXIATA,2642,[ deduced  ] balance alloted to zenith education promotion private limited,,2016-12-27 14:48:42
NTC,8000,[ deduced  ] balance alloted to nepadristi private limited,,2016-12-27 16:45:52
AXIATA,2000,[ deduced  ] balance alloted to nepadristi private limited,,2016-12-27 16:45:58
NTC,10000,alloted : Balance deduced from nepadristi private limited,,2016-12-29 13:40:35
AXIATA,4000,[ deduced  ] balance alloted to nepadristi private limited,,2016-12-29 13:40:41
AXIATA,8000,alloted : Balance deduced fromnepadristi private limited // transfering balance to nepa resesller,,2016-12-29 13:41:22
NTC,1496,alloted : Balance deduced frommobile track pvt. ltd. // transfered to their reseller,,2016-12-29 14:12:13
AXIATA,503,alloted : Balance deduced frommobile track pvt. ltd. // transferred to their reseller,,2016-12-29 14:12:59
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2016-12-30 11:57:57
AXIATA,1000,[ deduced  ] balance alloted to kathmandu don bosco college,,2016-12-30 13:20:10
NTC,1500,[ deduced  ] balance alloted to orbit mbbs,,2016-12-30 18:19:24
AXIATA,500,[ deduced  ] balance alloted to orbit mbbs,,2016-12-30 18:19:36
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-01-01 12:11:07
NTC,500,[ deduced  ] balance alloted to strikesales,,2017-01-01 12:38:14
AXIATA,500,[ deduced  ] balance alloted to strikesales,,2017-01-01 12:38:19
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-01-02 11:04:27
NTC,2500,[ deduced  ] balance alloted to Dryice Solutions,,2017-01-02 12:52:08
AXIATA,2500,[ deduced  ] balance alloted to Dryice Solutions,,2017-01-02 12:52:13
NTC,2143,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-01-03 16:11:29
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-04 15:02:31
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-04 15:02:44
NTC,1000,[ deduced  ] balance alloted to ims investment management services private limited,,2017-01-05 11:12:33
NTC,1786,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 10:52:56
AXIATA,1786,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 10:53:02
AXIATA,786,alloted : Balance deduced from gokarna saving and credit co-operative ltd,,2017-01-06 11:17:12
NTC,786,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 11:17:32
NTC,600,alloted : Balance deduced from gokarna saving and credit co-operative ltd,,2017-01-06 11:31:30
AXIATA,600,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 11:31:48
NTC,120,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 11:35:17
NTC,1200,[ deduced  ] balance alloted to narcotics crime bureau,,2017-01-08 11:24:03
AXIATA,229,[ deduced  ] balance alloted to narcotics crime bureau,,2017-01-08 11:24:22
NTC,15000,[ deduced  ] balance alloted to the connect plus private limited,,2017-01-10 12:30:35
AXIATA,5000,[ deduced  ] balance alloted to the connect plus private limited,,2017-01-10 12:30:42
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-10 13:58:50
NTC,200000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-10 14:42:58
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-10 14:43:04
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-01-11 20:33:53
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-01-13 12:04:55
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-01-13 12:05:05
NTC,1416,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-13 13:25:18
AXIATA,607,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-13 13:25:25
