balance type,amount,description,balance after update
NTC,7075,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-05-16 11:02:05
AXIATA,841,alloted : Balance deduced from the institute of chartered accountants of nepal,,2017-05-16 11:02:12
NTC,300000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-05-17 14:47:24
AXIATA,200000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-05-17 14:47:32
AXIATA,15000,[ deduced  ] balance alloted to softlab inc,,2017-05-21 13:21:23
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-22 11:00:22
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-22 11:00:26
NTC,19231,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-22 12:23:15
AXIATA,27778,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-22 12:23:56
NTC,1,[ deduced  ] balance alloted to easy-push,,2017-05-24 13:08:30
NTC,2000,[ deduced  ] balance alloted to orbit mbbs,,2017-05-25 16:24:26
AXIATA,1000,[ deduced  ] balance alloted to orbit mbbs,,2017-05-25 16:24:31
NTC,2000,[ deduced  ] balance alloted to kathmandu don bosco college,,2017-05-26 12:00:27
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-26 13:16:00
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-26 13:16:28
NTC,15,[ deduced  ] balance alloted to easy-demo,,2017-05-28 15:00:04
AXIATA,5,[ deduced  ] balance alloted to easy-demo,,2017-05-28 15:00:08
NTC,500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-05-28 15:49:25
AXIATA,500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-05-28 15:49:29
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-05-30 15:28:29
NTC,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-05-30 15:29:14
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-01 15:02:43
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-01 15:02:48
NTC,10000,[ deduced  ] balance alloted to softlab inc,,2017-06-02 10:46:46
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-06-02 10:46:51
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-04 13:57:19
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-04 13:57:27
NTC,2000,[ deduced  ] balance alloted to triton international college,,2017-06-07 15:13:59
AXIATA,2000,[ deduced  ] balance alloted to triton international college,,2017-06-07 15:14:04
NTC,1000,[ deduced  ] balance alloted to triton international college,,2017-06-08 13:20:23
AXIATA,1000,[ deduced  ] balance alloted to triton international college,,2017-06-08 13:20:29
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-06-11 13:57:57
NTC,10000,[ deduced  ] balance alloted to softlab inc,,2017-06-14 13:26:46
AXIATA,15000,[ deduced  ] balance alloted to softlab inc,,2017-06-14 13:26:54
