balance type,amount,description,balance after update
NTC,1200,[ deduced  ] balance alloted to narcotics crime bureau,,2017-01-08 11:24:03
AXIATA,229,[ deduced  ] balance alloted to narcotics crime bureau,,2017-01-08 11:24:22
NTC,15000,[ deduced  ] balance alloted to the connect plus private limited,,2017-01-10 12:30:35
AXIATA,5000,[ deduced  ] balance alloted to the connect plus private limited,,2017-01-10 12:30:42
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-10 13:58:50
NTC,200000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-10 14:42:58
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-10 14:43:04
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-01-11 20:33:53
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-01-13 12:04:55
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-01-13 12:05:05
NTC,1416,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-13 13:25:18
AXIATA,607,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-13 13:25:25
