balance type,amount,description,balance after update
NTC,15000,[ deduced  ] balance alloted to ace higher secondary school,,2017-04-03 13:08:17
AXIATA,10000,[ deduced  ] balance alloted to ace higher secondary school,,2017-04-03 13:08:22
AXIATA,715,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-04-03 14:22:58
NTC,2857,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-04-03 14:23:19
NTC,3572,[ deduced  ] balance alloted to zenith education promotion private limited,,2017-04-03 16:49:04
NTC,200000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-04 13:18:23
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-04 13:18:28
NTC,1429,[ deduced  ] balance alloted to himalayan valley secondary boarding school,,2017-04-06 15:17:33
NTC,3500,[ deduced  ] balance alloted to excel international college,,2017-04-07 12:30:43
AXIATA,1500,[ deduced  ] balance alloted to excel international college,,2017-04-07 12:30:47
NTC,357,[ deduced  ] balance alloted to 24Nepal- Websoft IT,,2017-04-07 16:10:43
AXIATA,357,[ deduced  ] balance alloted to 24Nepal- Websoft IT,,2017-04-07 16:10:47
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-09 15:51:16
NTC,15000,[ deduced  ] balance alloted to softlab inc,,2017-04-12 10:33:53
AXIATA,20000,[ deduced  ] balance alloted to softlab inc,,2017-04-12 10:34:01
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-13 15:29:50
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-13 15:29:59
NTC,1429,[ deduced  ] balance alloted to triton international college,,2017-04-13 16:59:10
AXIATA,2000,[ deduced  ] balance alloted to triton international college,,2017-04-13 16:59:26
NTC,20000,[ deduced  ] balance alloted to sasto sms private limited,,2017-04-13 21:01:48
