balance type,amount,description,balance after update
NTC,3000,[ deduced  ] balance alloted to nepal police,,2017-04-14 06:58:53
NTC,3000,[ deduced  ] balance alloted to nepal police,,2017-04-14 07:36:13
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-14 08:15:52
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-04-14 08:35:15
NTC,1000,[ deduced  ] balance alloted to ims investment management services private limited,,2017-04-16 11:03:09
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-16 11:06:21
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-16 11:06:26
NTC,4000,[ deduced  ] balance alloted to excel international college // added by ujwal,,2017-04-16 15:33:41
AXIATA,1000,[ deduced  ] balance alloted to excel international college // added by ujwal,,2017-04-16 15:33:53
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-04-20 10:51:01
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-20 12:33:47
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-20 12:33:51
NTC,10000,[ deduced  ] balance alloted to softlab inc,,2017-04-21 10:54:14
AXIATA,15000,[ deduced  ] balance alloted to softlab inc,,2017-04-21 10:54:22
NTC,200000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-04-23 11:53:38
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-04-23 11:53:42
NTC,500000,[ deduced  ] balance alloted to idea-api,,2017-04-23 14:33:31
AXIATA,200000,[ deduced  ] balance alloted to idea-api,,2017-04-23 14:33:40
NTC,3572,[ deduced  ] balance alloted to zenith education promotion private limited,,2017-04-24 12:59:56
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-04-26 14:19:43
NTC,2857,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-05-02 13:51:59
AXIATA,715,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-05-02 13:52:07
NTC,769,[ deduced  ] balance alloted to kanjirowa national h.s. school,,2017-05-03 13:48:29
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-03 14:24:26
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-03 14:24:31
NTC,10000,[ deduced  ] balance alloted to softlab inc,,2017-05-05 10:55:45
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-05-05 10:55:52
NTC,200000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-07 11:52:18
NTC,3000,[ deduced  ] balance alloted to District Police Office,,2017-05-08 16:11:05
AXIATA,3000,[ deduced  ] balance alloted to District Police Office,,2017-05-08 16:11:09
NTC,5000,[ deduced  ] balance alloted to  Panorama Institute Pvt.Ltd.,,2017-05-09 14:29:37
NTC,2307,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-11 14:18:17
AXIATA,2222,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-11 14:18:23
AXIATA,1111,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-11 14:19:00
NTC,1,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-11 14:22:50
AXIATA,1,[ deduced  ] balance alloted to Maskey Consultancy Service Pvt Ltd,,2017-05-11 14:22:53
NTC,100000,[ deduced  ] balance alloted to arya technology private limited,,2017-05-11 15:34:34
AXIATA,50000,[ deduced  ] balance alloted to arya technology private limited,,2017-05-11 15:34:40
NTC,10000,[ deduced  ] balance alloted to softlab inc,,2017-05-11 16:00:20
AXIATA,15000,[ deduced  ] balance alloted to softlab inc,,2017-05-11 16:00:24
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-11 21:34:00
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-11 21:34:09
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-05-11 21:37:22
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-05-12 10:40:12
