balance type,amount,description,balance after update
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-01-01 12:11:07
NTC,500,[ deduced  ] balance alloted to strikesales,,2017-01-01 12:38:14
AXIATA,500,[ deduced  ] balance alloted to strikesales,,2017-01-01 12:38:19
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-01-02 11:04:27
NTC,2500,[ deduced  ] balance alloted to Dryice Solutions,,2017-01-02 12:52:08
AXIATA,2500,[ deduced  ] balance alloted to Dryice Solutions,,2017-01-02 12:52:13
NTC,2143,[ deduced  ] balance alloted to nepal group of companies pvt. ltd.,,2017-01-03 16:11:29
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-04 15:02:31
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-01-04 15:02:44
NTC,1000,[ deduced  ] balance alloted to ims investment management services private limited,,2017-01-05 11:12:33
NTC,1786,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 10:52:56
AXIATA,1786,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 10:53:02
AXIATA,786,alloted : Balance deduced from gokarna saving and credit co-operative ltd,,2017-01-06 11:17:12
NTC,786,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 11:17:32
NTC,600,alloted : Balance deduced from gokarna saving and credit co-operative ltd,,2017-01-06 11:31:30
AXIATA,600,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 11:31:48
NTC,120,[ deduced  ] balance alloted to gokarna saving and credit co-operative ltd,,2017-01-06 11:35:17
