balance type,amount,description,balance after update
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-06-30 10:45:42
AXIATA,20000,[ deduced  ] balance alloted to softlab inc,,2017-06-30 10:45:47
AXIATA,200000,[ deduced  ] balance alloted to synergy tech software,,2017-06-30 15:21:45
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-07-02 13:05:13
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-07-02 13:05:18
NTC,5000,[ deduced  ] balance alloted to sasto sms private limited,,2017-07-03 12:37:57
AXIATA,5000,[ deduced  ] balance alloted to sasto sms private limited,,2017-07-03 12:38:01
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-04 11:00:17
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-04 11:00:22
NTC,10000,[ deduced  ] balance alloted to guru infosys(default),,2017-07-04 11:16:22
AXIATA,5000,[ deduced  ] balance alloted to guru infosys(default),,2017-07-04 11:16:26
NTC,1500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-07-05 11:38:59
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-07-06 13:15:33
NTC,3243,[ deduced  ] balance alloted to excel business college,,2017-07-06 15:04:43
AXIATA,1757,[ deduced  ] balance alloted to excel business college,,2017-07-06 15:04:51
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-07-09 13:44:24
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-07-09 13:44:32
