balance type,amount,description,balance after update
NTC,17857,[ deduced  ] balance alloted to ace higher secondary school,,2017-01-31 10:40:58
NTC,10000,[ deduced  ] balance alloted to sasto sms private limited,,2017-02-01 11:18:16
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-02-02 20:33:53
AXIATA,50000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-02-02 20:33:58
AXIATA,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-02-03 09:20:41
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-02-03 10:11:13
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-02-03 10:11:21
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-03 14:59:55
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-03 15:00:00
