balance type,amount,description,balance after update
NTC,3000,[ deduced  ] balance alloted to orbit mbbs,,2017-07-16 14:14:43
AXIATA,1500,[ deduced  ] balance alloted to orbit mbbs,,2017-07-16 14:14:48
NTC,4000,[ deduced  ] balance alloted to nepal police,,2017-07-17 12:08:11
AXIATA,1000,[ deduced  ] balance alloted to nepal police,,2017-07-17 12:08:20
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-07-18 16:55:31
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-07-18 16:55:54
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-07-20 11:13:25
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-07-20 11:13:42
NTC,2000,[ deduced  ] balance alloted to kathmandu don bosco college,,2017-07-20 12:34:58
AXIATA,1000,[ deduced  ] balance alloted to kathmandu don bosco college,,2017-07-20 12:35:04
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-20 14:32:46
NTC,2500,[ deduced  ] balance alloted to sudur paschim bidhyalaya,,2017-07-21 14:16:24
AXIATA,2500,[ deduced  ] balance alloted to sudur paschim bidhyalaya,,2017-07-21 14:16:28
NTC,25,[ deduced  ] balance alloted to easy-demo,,2017-07-23 10:53:54
AXIATA,25,[ deduced  ] balance alloted to easy-demo,,2017-07-23 10:53:57
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-23 16:22:47
NTC,5000,[ deduced  ] balance alloted to sasto sms private limited,,2017-07-23 16:32:39
NTC,5000,[ deduced  ] balance alloted to zenith education promotion private limited,,2017-07-24 12:01:41
NTC,1000,[ deduced  ] balance alloted to ims investment management services private limited,,2017-07-25 10:28:56
AXIATA,1000,[ deduced  ] balance alloted to ims investment management services private limited,,2017-07-25 10:29:01
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-07-27 10:12:43
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-07-27 10:12:48
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-07-27 10:58:24
NTC,100000,[ deduced  ] balance alloted to arya technology private limited,,2017-07-28 20:28:26
AXIATA,50000,[ deduced  ] balance alloted to arya technology private limited,,2017-07-28 20:28:38
