Request By,Sender ID,Operator/Gateway,State,Date
Isme, Inter National Society For Medical Education Pvt. Ltd,COMS,Default [ AXIATA ],Approved,2015-09-04 10:55:07
Easy-push,EasySMS,Default [ AXIATA ],Approved,2015-08-31 08:42:35
Easy-push,DhulikhelNP,Default [ AXIATA ],Approved,2016-01-24 21:59:42
Easy-push,CivilHsptl,Default [ AXIATA ],Approved,2016-03-14 14:59:19
Easy-push,ICAN,Default [ AXIATA ],Approved,2016-06-30 12:14:47
Easy-push,RastraSewak,Default [ AXIATA ],Approved,2016-09-12 14:26:55
Easy-push,Goes,Default [ AXIATA ],Approved,2016-05-02 12:40:56
Easy-push,SBD,Default [ AXIATA ],Approved,2016-04-17 14:14:15
Easy-push,NPJGOSIDA,Default [ AXIATA ],Approved,2016-06-26 16:13:47
Easy-push,DHRP,Default [ AXIATA ],Approved,2017-01-29 12:48:05
Easy-push,YAMAHA,Default [ AXIATA ],Approved,2016-03-08 14:46:31
Easy-push,SARBODAYA,Default [ AXIATA ],Approved,2016-06-23 13:33:41
Easy-push,HYUNDAI,Default [ AXIATA ],Approved,2016-04-20 12:30:56
Easy-push,Siddhi,Default [ AXIATA ],Approved,2016-07-29 13:57:45
Easy-push,NSTORE,Default [ AXIATA ],Approved,2017-01-29 12:04:56
Easy-push,Balmeeki,Default [ AXIATA ],Approved,2016-06-23 13:33:22
Easy-push,FLstore,Default [ AXIATA ],Approved,2017-01-17 12:48:37
Easy-push,NepalGroup,Default [ AXIATA ],Approved,2016-04-18 11:24:29
Easy-push,NCELLSHOP,Default [ AXIATA ],Approved,2016-06-26 16:17:37
Easy-api,EasySMS,Default [ AXIATA ],Approved,2016-03-10 10:52:04
Easy-api,34546,NTC34546 [ NTC ],Approved,2016-08-12 16:04:47
Shraman Apparels,KarunaWears,Default [ AXIATA ],Approved,2015-08-30 13:52:26
Shraman Apparels,JuJuWears,Default [ AXIATA ],Approved,2015-09-10 14:26:21
Initiative Nepal Pvt. Ltd.,Ocean,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,MeridianOVS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,BSoverseas,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,WAHAA,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,LeninSky,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Subharamba,Default [ AXIATA ],Approved,2017-01-16 03:14:51
Initiative Nepal Pvt. Ltd.,BestEdu,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SpeedOVS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,BREINS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,NileIntl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SanaaIntl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,CapitalIntl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,ImperialOvs,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Amcon,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SevillaEdu,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,NRMSDP,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,GloveLink,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,ShitalSacos,Default [ AXIATA ],Approved,2016-08-28 17:42:04
Initiative Nepal Pvt. Ltd.,Shatakshee,Default [ AXIATA ],Approved,2016-07-03 19:56:01
Initiative Nepal Pvt. Ltd.,THENEXT,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Majesty,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,WOWconsult,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,WAHAA,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Komalintl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,ATWS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Jugalintl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,BagmatiHSS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,NepalEdu,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Pioneer,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,BSOPL,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,CodeManpowr,Default [ AXIATA ],Approved,2016-05-29 17:33:22
Initiative Nepal Pvt. Ltd.,DHRNepal,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,National,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SafeIntl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,ManavAC,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Genuine,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,PatanNist,Default [ AXIATA ],Approved,2016-06-21 16:41:25
Initiative Nepal Pvt. Ltd.,UniversalT,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,FCAN,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,KabeliHR,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,ApenAcademy,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,GulfaEmp,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SPMoverseas,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,NeoSaving,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Mughalintl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,KPIntl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,PragyaEdu,Default [ AXIATA ],Approved,2016-05-29 17:31:20
Initiative Nepal Pvt. Ltd.,SaugaatM,Default [ AXIATA ],Approved,2016-08-14 19:29:18
Initiative Nepal Pvt. Ltd.,Yacca,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,GrandS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,RightWay,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Trendway,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,FNGSGJA,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SatyamIntl,Default [ AXIATA ],Approved,2016-06-21 16:40:20
Initiative Nepal Pvt. Ltd.,Damaru,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,kandk,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SumnimaSCC,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,JBRasso,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Akalpa,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Dharma,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,MidTown,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Miracle,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,MihonJLS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,KarnaliOVS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,HideandSeek,Default [ AXIATA ],Approved,2016-05-29 17:30:02
Initiative Nepal Pvt. Ltd.,VIEC,Default [ AXIATA ],Approved,2016-08-14 19:27:40
Initiative Nepal Pvt. Ltd.,Sewa,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,TITANIC,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,RIA,Default [ AXIATA ],Approved,2016-05-12 23:37:06
Initiative Nepal Pvt. Ltd.,PratigyaMS,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,HimalayanHR,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,EuroNepal,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Laligurans,Default [ AXIATA ],Approved,2016-06-21 16:38:59
Initiative Nepal Pvt. Ltd.,UnitedHR,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,Allsecure,Default [ AXIATA ],Approved,2016-05-12 19:32:50
Initiative Nepal Pvt. Ltd.,SynnetIntl,Default [ AXIATA ],Approved,2016-05-12 19:32:50
