Sender ID,Operator/Gateway,Description,State,Date
BeingHuman,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BENUSITAULA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BestWay,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BETAIntl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Beyond,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BHAKARI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BHARAT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BharatGiri,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BharatpurES,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BharatThapa,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BHUMI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BIKASHPANTA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BikasSaccos,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Binamay,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Binod,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Binodkhanal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BINODPOKHRE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BINODRIJAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BiratHealth,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BishnuHari,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BlueIceTech,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BlueSky,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BMC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BMCS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BMTIschool,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BODHITREE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BookMart,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BOSTON,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BostonBTM,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BrightFHSS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BROADLINK,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BuddhaAcdmy,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BuddhaJyoti,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BuddhaPub,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BwifiGorkha,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ByaparSangh,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
