balance type,amount,description,balance after update
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:34
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:37
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:38
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:39
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:40
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:41
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:42
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:43
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 04:29:44
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:03:34
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:06:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:06:34
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:06:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:08:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:09:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:10:33
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:11:33
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:11:34
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:11:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:11:36
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:11:36
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:12:34
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:12:34
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:12:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:12:36
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:12:37
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:12:38
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:14:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:14:34
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:14:35
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:14:36
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:14:36
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:14:37
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:34
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:35
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:36
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:37
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:37
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:38
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:15:39
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2017-01-20 06:16:33
